Section,Type,Original Text (EN),Translation/Replacement,Status,Notes
About,TrustData_Stat2,1000+ / Print Cylinders in Stock,,needs_review,
About,TrustData_Stat3,50000+ / Monthly Production Capacity (sqm),,needs_review,
About,TrustData_Stat4,7 / Core Product Lines,,needs_review,
About,Story_Capsule,Our Story,,needs_review,
About,Story_Title,It Started with One Printing Line,,needs_review,
About,Story_P1,"DecoSupplier started with one printing line and a small team of workers who had spent over a decade in the PVC film industry. We saw too many good products lose their price edge through layers of middlemen. We saw too many overseas buyers struggle to find a reliable, direct source. So we built our own.",,needs_review,
About,Story_P2,"We don't trade. We don't represent brands. We manufacture — from substrate preparation and pattern printing to finished slitting — all under one roof. No markups. No opaque pricing.",,needs_review,
About,Story_P3,"From that first printing line to today's multi-hectare manufacturing base, from single-category PVC film to seven product lines covering flooring, wall panels, and refinishing films — we stay committed to one thing: helping global buyers get quality materials at a fair price, directly from the source.",,needs_review,
About,Facilities_Capsule,Our Facilities,,needs_review,
About,Facilities_Title,Where Quality Is Made,,needs_review,
About,Facilities_Subtitle,"From raw material processing to finished goods — every facility is equipped to deliver consistent quality and reliable supply.",,needs_review,
About,Facility1_Name,Main Production Base,,needs_review,
About,Facility1_Location,"Zhejiang, China",,needs_review,
About,Facility1_Type,PVC Film Manufacturing,,needs_review,
About,Facility1_Size,"50,000+ sqm",,needs_review,
About,Facility1_Feature1,High-speed gravure printing lines,,needs_review,
About,Facility1_Feature2,Multi-layer co-extrusion,,needs_review,
About,Facility1_Feature3,Embossing & lamination,,needs_review,
About,Facility1_Feature4,Adhesive coating,,needs_review,
About,Facility1_Feature5,Automated slitting,,needs_review,
About,Facility1_Cert,"ISO 9001, ISO 14001, CE Certified",,needs_review,
About,Facility2_Name,R&D & Quality Lab,,needs_review,
About,Facility2_Location,"Zhejiang, China",,needs_review,
About,Facility2_Type,Testing & Innovation,,needs_review,
About,Facility2_Size,"2,000+ sqm",,needs_review,
About,Facility2_Feature1,Scratch resistance testing,,needs_review,
About,Facility2_Feature2,Colorfastness & UV testing,,needs_review,
About,Facility2_Feature3,Waterproof bonding tests,,needs_review,
About,Facility2_Feature4,VOC/aldehyde emission analysis,,needs_review,
About,Facility2_Feature5,Spectrophotometer color matching,,needs_review,
About,Facility2_Cert,"CNAS, ISO 17025",,needs_review,
About,Facility3_Name,Warehouse & Logistics Center,,needs_review,
About,Facility3_Location,"Ningbo Port, China",,needs_review,
About,Facility3_Type,Storage & Export Hub,,needs_review,
About,Facility3_Size,"10,000+ sqm",,needs_review,
About,Facility3_Feature1,Climate-controlled storage,,needs_review,
About,Facility3_Feature2,Container loading docks,,needs_review,
About,Facility3_Feature3,FOB Ningbo/Shanghai,,needs_review,
About,Facility3_Feature4,Customs documentation,,needs_review,
About,Facility3_Feature5,Real-time inventory tracking,,needs_review,
About,Facility3_Cert,"AEO, C-TPAT",,needs_review,
About,Facility4_Name,Calendering & Printing Workshop,,needs_review,
About,Facility4_Location,"Zhejiang, China",,needs_review,
About,Facility4_Type,Film Production,,needs_review,
About,Facility4_Size,"15,000+ sqm",,needs_review,
About,Facility4_Feature1,Wide-width calendering lines,,needs_review,
About,Facility4_Feature2,Temperature-controlled rolls,,needs_review,
About,Facility4_Feature3,High-precision thickness control,,needs_review,
About,Facility4_Feature4,Continuous production workflow,,needs_review,
About,Facility4_Feature5,Real-time quality monitoring,,needs_review,
About,Facility4_Cert,"ISO 9001, CE Certified",,needs_review,
About,Facility5_Name,Surface Treatment Workshop,,needs_review,
About,Facility5_Location,"Zhejiang, China",,needs_review,
About,Facility5_Type,Finishing & Coating,,needs_review,
About,Facility5_Size,"8,000+ sqm",,needs_review,
About,Facility5_Feature1,UV coating application,,needs_review,
About,Facility5_Feature2,Anti-scratch treatments,,needs_review,
About,Facility5_Feature3,Matte & gloss finishing,,needs_review,
About,Facility5_Feature4,Anti-microbial surface options,,needs_review,
About,Facility5_Feature5,Custom texture embossing,,needs_review,
About,Facility5_Cert,"ISO 14001, REACH Compliant",,needs_review,
About,Facility6_Name,Finished Goods & QA Center,,needs_review,
About,Facility6_Location,"Ningbo, China",,needs_review,
About,Facility6_Type,Inspection & Packaging,,needs_review,
About,Facility6_Size,"5,000+ sqm",,needs_review,
About,Facility6_Feature1,Final product inspection,,needs_review,
About,Facility6_Feature2,Roll slitting & packaging,,needs_review,
About,Facility6_Feature3,Barcode & label application,,needs_review,
About,Facility6_Feature4,Shipment preparation,,needs_review,
About,Facility6_Feature5,Export documentation,,needs_review,
About,Facility6_Cert,"ISO 9001, AEO",,needs_review,
About,Equipment_Capsule,Equipment & Capacity,,needs_review,
About,Equipment_Title,Quality Built Into Every Meter,,needs_review,
About,Equipment_P1,"Our manufacturing base spans tens of thousands of square meters. Core equipment includes:",,needs_review,
About,Equipment_Item1,"High-speed gravure printing lines — multi-color registration capability, high precision, minimal color deviation.",,needs_review,
About,Equipment_Item2,Embossing and lamination lines — precise grain alignment with printed patterns.,,needs_review,
About,Equipment_Item3,Adhesive coating equipment — scaled production of self-adhesive products.,,needs_review,
About,Equipment_Item4,Automated slitting and packaging lines — efficient delivery and product protection.,,needs_review,
About,Equipment_P2,"We don't do piecemeal production. We deliver stable, high-volume capacity — built for bulk procurement from global partners.",,needs_review,
About,Quality_Capsule,Quality Philosophy,,needs_review,
About,Quality_Title,Quality is Not a Process — It's a Habit,,needs_review,
About,Quality_P1,"At DecoSupplier, quality control doesn't just happen on the testing bench. It's embedded in every step:",,needs_review,
About,Quality_Item1,Incoming material inspection — every batch of base film ink and adhesive is verified.,,needs_review,
About,Quality_Item2,In-line monitoring — real-time checks along the production line.,,needs_review,
About,Quality_Item3,Finished product testing — scheduled physical tests for wear resistance waterproofing and colorfastness.,,needs_review,
About,Quality_Item4,Pre-shipment verification — the final checkpoint before every roll leaves our warehouse.,,needs_review,
About,Quality_Quote,One quality failure can undo ten trust-building efforts. We'd rather slow down than let a defect pass.,,needs_review,
About,WhyChoose_Capsule,Why Choose DecoSupplier,,needs_review,
About,WhyChoose_Title,What You Get When You Work with Us,,needs_review,
About,WhyChoose_Subtitle,Six reasons why global buyers trust DecoSupplier as their surface materials partner.,,needs_review,
About,WhyChoose1_Title,Factory-Direct Pricing,,needs_review,
About,WhyChoose1_Desc,"No middlemen, no brand markup. You pay for the material itself — not layers of distribution costs.",,needs_review,
About,WhyChoose2_Title,Full Product Range,,needs_review,
About,WhyChoose2_Desc,"From films to flooring to wall panels — seven product lines available for one-stop sourcing. Color-matched across categories, no need to piece together from multiple suppliers.",,needs_review,
About,WhyChoose3_Title,In-House Print Cylinders,,needs_review,
About,WhyChoose3_Desc,"1000+ patterns, all with cylinders owned in-house. No reliance on external plate-makers. Faster turnaround on pattern changes, reorders, and new designs.",,needs_review,
About,WhyChoose4_Title,Customization Flexibility,,needs_review,
About,WhyChoose4_Desc,"Sample-based or design-based customization, OEM/ODM private labeling all supported. Cylinder engraving costs are deductible from bulk order payments — lowering your startup investment.",,needs_review,
About,WhyChoose5_Title,Communication & Delivery,,needs_review,
About,WhyChoose5_Desc,"FOB from major Chinese ports (Ningbo/Shanghai/Yiwu) with stable lead times. Direct export team communication — no middlemen, no language barriers.",,needs_review,
About,WhyChoose6_Title,Value-Added Services,,needs_review,
About,WhyChoose6_Desc,"Real-time order status syncing via API (connect to your procurement system) and initial trademark & patent risk screening consultation — making cross-border sourcing more secure.",,needs_review,
About,Values_Capsule,What We Believe In,,needs_review,
About,Values_Title,Our Values,,needs_review,
About,Values_Subtitle,"Five beliefs that guide everything we do — from the factory floor to every customer conversation.",,needs_review,
About,Values_1,Quality materials don't need middlemen.,,needs_review,
About,Values_2,"Factories should be transparent, not guarded.",,needs_review,
About,Values_3,Every inquiry is the start of a trust relationship.,,needs_review,
About,Values_4,Long-term partnership beats a one-off deal.,,needs_review,
About,Values_5,"Made in China doesn't mean cheap — it can be both quality and fair.",,needs_review,
About,Team_Capsule,Our Team,,needs_review,
About,Team_Title,The People Behind The Products,,needs_review,
About,Team_Desc,"We are a group of ordinary people who have spent over a decade in the PVC film industry. We know the process. We know production. We know exporting. And we know how to speak honestly to our customers.",,needs_review,
About,Team_Member,Team Member / Role Title,,placeholder,Placeholder - needs real team data
About,Global_Capsule,Global Network Coverage,,needs_review,
About,Global_Title,Exporting to 200+ Countries,,needs_review,
About,Global_Subtitle,"DecoSupplier serves global markets with reliable shipping and localised support across Europe, the Americas, Southeast Asia, and the Middle East.",,needs_review,
About,Global_Map,Global Export Network,,needs_review,
About,Global_MapSub,"Serving Europe · Americas · Southeast Asia · Middle East · Africa",,needs_review,
About,Global_Region1,Europe / Germany · UK · France · Italy,,needs_review,
About,Global_Region2,Americas / USA · Canada · Mexico · Brazil,,needs_review,
About,Global_Region3,Southeast Asia / Vietnam · Thailand · Malaysia,,needs_review,
About,Global_Region4,Middle East / UAE · Saudi · Turkey,,needs_review,
About,Global_Footnote,200+ countries served worldwide with stable lead times and reliable logistics.,,needs_review,
About,CTA_Capsule,Visit Our Factory — Or Start with an Inquiry,,needs_review,
About,CTA_Title,Ready to Work with DecoSupplier?,,needs_review,
About,CTA_Subtitle,"We welcome factory visits and online conversations. Either way, you're talking directly to the decision-makers.",,needs_review,
About,CTA_Button,Contact Us,,needs_review,
About,CTA_Footnote,DecoSupplier.com — From Film to Finish,,needs_review,
=== SERVICE PAGE (Service.astro) ===,,,,,
Service,SEO_Title,"OEM/ODM Service & Custom Manufacturing for PVC Films, LVT & Wall Panels",,needs_review,
Service,Hero_Capsule,From Printing to Finished Product,,needs_review,
Service,Hero_Title,"Manufacturing & Custom Production",,needs_review,
Service,Hero_Desc,"Factory-based production for PVC decorative films, LVT flooring, wall panels, and related surface materials.",,needs_review,
Service,Hero_SubDesc,"We support sample development, pattern customization, printing, coating, embossing, slitting, and shipment preparation for global buyers who need reliable production capacity.",,needs_review,
Service,Hero_CTA,Start Your Inquiry,,needs_review,
Service,Pillar_Capsule,Our Service Core,,needs_review,
Service,Pillar_Title,Three Core Manufacturing Capabilities,,needs_review,
Service,Pillar_Subtitle,"Our service focus is on practical production support, product customization, and dependable execution.",,needs_review,
Service,Pillar1_Title,Direct Manufacturing & Full Category Matching,,needs_review,
Service,Pillar1_Desc,"3 in-house factories covering 7 product categories. One-stop sourcing with perfectly matched patterns across films, floors, and wall panels.",,needs_review,
Service,Pillar2_Title,Flexible OEM/ODM Customization,,needs_review,
Service,Pillar2_Desc,"Supports sample/design-based customization & private labeling. 1000+ in-house cylinders for fast development. We also offer IP infringement risk assessment for target markets.",,needs_review,
Service,Pillar3_Title,Digital Delivery & Order Sync,,needs_review,
Service,Pillar3_Desc,Real-time API integration with your CRM/ERP. Production progress and inventory sync automatically making global procurement totally transparent and efficient.,,needs_review,
Service,Flow_Capsule,Custom Service Flow,,needs_review,
Service,Flow_Title,Dedicated Custom Channel — 8 Clear Steps,,needs_review,
Service,Flow_Subtitle,"A transparent step-by-step roadmap, from your first inquiry to global delivery.",,needs_review,
Service,Step01_Title,Pattern or Sample Request,,needs_review,
Service,Step01_Desc,"Provide your reference patterns, target price, or physical samples.",,needs_review,
Service,Step02_Title,IP Compliance Assessment,,needs_review,
Service,Step02_Desc,We analyze potential infringement risks for your target market (exclusive service).,,needs_review,
Service,Step03_Title,Specification Confirmation,,needs_review,
Service,Step03_Desc,"Confirm product structure, thickness, and surface finish.",,needs_review,
Service,Step04_Title,Sampling & Quotation,,needs_review,
Service,Step04_Desc,Accurate costing for sampling and bulk production based on precise specs.,,needs_review,
Service,Step05_Title,Sample Approval & Compliance Review,,needs_review,
Service,Step05_Desc,Confirm sample performance and prepare export compliance documents.,,needs_review,
Service,Step06_Title,Deposit & Production Scheduling,,needs_review,
Service,Step06_Desc,Production slots are scheduled upon receiving the deposit.,,needs_review,
Service,Step07_Title,Production & Real-Time Sync,,needs_review,
Service,Step07_Desc,In-line quality checks during production; progress synced via SaaS portal.,,needs_review,
Service,Step08_Title,"Final QC, Balance & Global Shipping",,needs_review,
Service,Step08_Desc,"Final pre-shipment verification, balance payment, and FOB shipping.",,needs_review,
Service,Options_Capsule,Options & Products,,needs_review,
Service,Options_Title, Customization Options & 7 Product Lines,,needs_review,
Service,Options_Subtitle,Select your service based on our customization options and product portfolio.,,needs_review,
Service,Option_ProductType,"Product Type: PVC Decorative Film, LVT Flooring, SPC Wall Panels, Interior Refinishing Film, Self-Adhesive Foam Wall Panels, 3D PVC Wall Panels, Peel & Stick Wallpapers",,needs_review,
Service,Option_Patterns,"Patterns & Designs: 1000+ In-house patterns / Customer-supplied designs / Professional designer collaboration",,needs_review,
Service,Option_Finish,"Surface Finish: Matte, Flat, Embossed, 3D EIR (Synchronous Embossing)",,needs_review,
Service,Option_Structure,"Product Structure: Custom thickness, wear layer selection, adhesive type (Self-adhesive / Non-adhesive / Composite)",,needs_review,
Service,Option_Packaging,"Packaging & Labeling: Custom carton layout (header boxes / color boxes / white boxes), shipping marks, and barcode printing",,needs_review,
Service,Products_Subtitle,7 Core Product Categories,,needs_review,
Service,QC_Capsule,Quality & Value-Added,,needs_review,
Service,QC_Title,Quality is the Baseline; Value-Added Services Are the Plus,,needs_review,
Service,QC_Section1,I. 4-Stage Quality Control,,needs_review,
Service,QC_Item1,"Incoming Material Inspection: Base films, inks, and adhesives",,needs_review,
Service,QC_Item2,In-Line Monitoring: Real-time production line checks,,needs_review,
Service,QC_Item3,"Finished Product Testing: Wear resistance, waterproofing, and colorfastness tests",,needs_review,
Service,QC_Item4,Pre-Shipment Verification: The final checkpoint before dispatch,,needs_review,
Service,QC_Section2,II. Exclusive Value-Added Support,,needs_review,
Service,VA_Title1,OEM Compliance Advisory,,needs_review,
Service,VA_Desc1,We provide an initial pattern/design infringement risk assessment for your target market preventing compliance issues from the start.,,needs_review,
Service,VA_Title2,Digital Progress Sync,,needs_review,
Service,VA_Desc2,Standardized ERP APIs or a dedicated SaaS portal provide real-time production & QC status updates eliminating email follow-ups.,,needs_review,
Service,WhyUs_Capsule,Why Choose Us,,needs_review,
Service,WhyUs_Title,Why Choose Our Services,,needs_review,
Service,WhyUs_Subtitle,The essential guide to partnering with us.,,needs_review,
Service,WhyUs1_Title,Factory-Direct Pricing,,needs_review,
Service,WhyUs1_Desc,No middlemen. Pay only for true material costs and fair margins.,,needs_review,
Service,WhyUs2_Title,In-House Cylinder Library,,needs_review,
Service,WhyUs2_Desc,"1000+ in-house cylinders. Low mold setup costs, credited against bulk orders.",,needs_review,
Service,WhyUs3_Title,Comprehensive Product Range,,needs_review,
Service,WhyUs3_Desc,"7 core product lines. Matching patterns across films, floors, and wall panels, all from one source.",,needs_review,
Service,WhyUs4_Title,Proactive Compliance Screening,,needs_review,
Service,WhyUs4_Desc,Pre-production infringement risk assessment for target markets to avoid takedowns and costly disputes.,,needs_review,
Service,WhyUs5_Title,Transparent Order Tracking,,needs_review,
Service,WhyUs5_Desc,Real-time production progress synced via SaaS/API. No more endless email chasing.,,needs_review,
Service,WhyUs6_Title,Low MOQ & Easy Start,,needs_review,
Service,WhyUs6_Desc,Small trial orders supported. Quick sampling to confirm quality before bulk scaling.,,needs_review,
Service,Beliefs_Capsule,Our Beliefs,,needs_review,
Service,Beliefs_Title,Our Service Philosophies,,needs_review,
Service,Beliefs_Subtitle,Delivering B2B professionalism and reliability.,,needs_review,
Service,Belief_1,More than materials—a secure supply chain.,,needs_review,
Service,Belief_2,Zero compliance-risk issues leave our factory.,,needs_review,
Service,Belief_3,"Total transparency, including real-time production status.",,needs_review,
Service,Belief_4,We value repeat orders over one-off deals.,,needs_review,
Service,Belief_5,Fair prices with services that exceed expectations.,,needs_review,
Service,Team_Capsule,Service Team,,needs_review,
Service,Team_Title,"Hands-On Experts in Technology, Manufacturing, and Global Markets",,needs_review,
Service,Team_Desc,"A pragmatic team rooted in the PVC industry, experienced in printing, adhesive, and export. Dedicated project managers handle everything from sampling to risk assessment and system integration. Your reliable overseas supply chain partner.",,needs_review,
Service,CTA_Capsule,Let's Talk,,needs_review,
Service,CTA_Title,Ready to Start Your Custom Project?,,needs_review,
Service,CTA_Subtitle,"Need samples, bulk orders, or a SaaS test? Speak directly to our factory team.",,needs_review,
Service,CTA_Button,Contact Us Now,,needs_review,
=== CONTACT PAGE (contact.astro) ===,,,,,
Contact,SEO_Title,"Contact DecoSupplier - Get a Quote for Surface Materials",,needs_review,
Contact,Hero_Title,"Contact DecoSupplier",,needs_review,
Contact,Hero_Desc,"Get a customized quote for decorative films, flooring, and wall panels tailored to your project specifications. We typically respond within 24 hours.",,needs_review,
Contact,Sidebar_NeedHelp,Need Help?,,needs_review,
Contact,Phone_Label,Phone,,needs_review,
Contact,Phone_Value,"+86 153 0581 9072",,confirmed,
Contact,Phone_Hours,"Mon-Fri, 8:00 AM - 6:00 PM (UTC+8)",,needs_review,
Contact,Email_Label,Email,,needs_review,
Contact,Email_Value,info@decosupplier.com,,confirmed,
Contact,Email_Note,24-hour response guaranteed,,needs_review,
Contact,Office_Label,Office Location,,needs_review,
Contact,Office_City,"Hangzhou, Zhejiang",,needs_review,
Contact,Office_Address,"5th Floor, Huarui Huijin Center, Beigan Sub-district, Xiaoshan District, Hangzhou City, Zhejiang Province, P.R.China",,confirmed,
Contact,Factory_Label,Factory Location,,needs_review,
Contact,Factory_City,"Huangshan, Anhui",,needs_review,
Contact,Factory_Address,"She County Economic Development Zone, Huangshan City, Anhui Province, P.R.China",,confirmed,
